customer_id,amount_cad,debit_credit,cash_indicator,country_x,province_x,city_x,transaction_date,transaction_time,Transaction_channel,chanel_id,trans_type,merchant_category,ecommerce_ind,country_y,province_y,city_y,industry_code,employee_count,sales,established_date,onboard_date,industry
SYNCID0000000014,25.41,credit,False,CA,SK,REGINA,2022-11-16,17:37:41,ABM,ABM00000000000000006,credit,,,CA,ON,MARKHAM,4275,0.0,,2016-09-14,,Painting and Decorating Work
SYNCID0000000038,104.55,debit,True,CA,,other,2022-12-28,18:07:36,ABM,ABM00000000000000013,debit,,,CA,AB,EDMONTON,8652,0.0,0.0,2019-06-16,2019-08-07,"Offices of Physicians and Surgeons, Specialists"
SYNCID0000000063,1050.38,credit,True,CA,BC,VERNON,2022-11-30,18:32:11,ABM,ABM00000000000000054,credit,,,CA,BC,DUNCAN,other,0.0,0.0,1964-06-05,2016-12-07,
SYNCID0000000063,52.66,debit,True,,,,2022-12-22,16:33:23,ABM,ABM00000000000000055,debit,,,CA,BC,DUNCAN,other,0.0,0.0,1964-06-05,2016-12-07,
SYNCID0000000072,270.9,debit,True,other,,other,2022-11-12,06:09:30,ABM,ABM00000000000000156,debit,,,CA,ON,KITCHENER,0211,0.0,0.0,1994-07-24,1994-08-24,
SYNCID0000000072,316.87,debit,True,,,,2022-11-20,11:48:48,ABM,ABM00000000000000157,debit,,,CA,ON,KITCHENER,0211,0.0,0.0,1994-07-24,1994-08-24,
SYNCID0000000072,1031.97,debit,True,other,,other,2022-12-20,16:53:28,ABM,ABM00000000000000158,debit,,,CA,ON,KITCHENER,0211,0.0,0.0,1994-07-24,1994-08-24,
SYNCID0000000085,441.06,debit,True,CA,,other,2023-01-26,21:23:51,ABM,ABM00000000000000197,debit,,,CA,,other,6412,0.0,77720.0,2016-02-20,2016-06-02,General Stores
SYNCID0000000095,133.95,debit,True,CA,NS,DARTMOUTH,2022-11-20,18:32:15,ABM,ABM00000000000000202,debit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,5174.53,credit,False,CA,ON,OTTAWA,2022-12-09,16:11:01,ABM,ABM00000000000000203,credit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,221.09,debit,True,CA,ON,BARRIE,2022-12-05,15:45:21,ABM,ABM00000000000000204,debit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,2178.84,credit,False,CA,NS,DARTMOUTH,2022-12-09,10:14:42,ABM,ABM00000000000000205,credit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,167.19,debit,True,CA,NL,MARYSTOWN,2022-11-02,11:51:09,ABM,ABM00000000000000206,debit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,2991.37,credit,True,CA,AB,CALGARY,2022-11-18,10:50:55,ABM,ABM00000000000000207,credit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,4090.36,credit,True,CA,BC,VANCOUVER,2023-01-27,21:41:00,ABM,ABM00000000000000208,credit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,17.14,credit,False,CA,ON,MARKHAM,2022-12-11,21:49:51,ABM,ABM00000000000000209,credit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,325.39,credit,False,CA,,other,2023-01-09,09:39:31,ABM,ABM00000000000000210,credit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,850.75,credit,False,CA,BC,VANCOUVER,2022-11-25,14:45:42,ABM,ABM00000000000000211,credit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000095,14039.42,credit,False,CA,ON,BRAMPTON,2022-12-09,14:57:22,ABM,ABM00000000000000212,credit,,,CA,ON,RICHMOND,7511,0.0,0.0,2011-09-11,2011-11-10,Operators of Residential Buildings and Dwellings
SYNCID0000000100,66.28,debit,True,CA,,other,2022-12-25,07:03:10,ABM,ABM00000000000000214,debit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,210.57,debit,True,CA,,other,2022-12-30,18:48:22,ABM,ABM00000000000000215,debit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,107.23,credit,False,CA,BC,VICTORIA,2022-11-12,16:37:50,ABM,ABM00000000000000216,credit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,28139.59,credit,False,CA,ON,TORONTO,2022-11-15,11:30:20,ABM,ABM00000000000000217,credit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,198.25,debit,True,CA,,other,2022-11-16,16:36:01,ABM,ABM00000000000000218,debit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,524.66,debit,True,CA,ON,ORANGEVILLE,2022-12-26,15:28:40,ABM,ABM00000000000000219,debit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,1063.12,credit,False,CA,ON,SCARBOROUGH,2023-01-06,18:21:42,ABM,ABM00000000000000220,credit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,214.1,debit,True,,,,2023-01-26,18:11:55,ABM,ABM00000000000000221,debit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,313.59,debit,True,CA,SK,SASKATOON,2022-12-24,15:44:45,ABM,ABM00000000000000222,debit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,973.97,debit,True,CA,ON,TORONTO,2022-11-29,18:51:55,ABM,ABM00000000000000223,debit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
SYNCID0000000100,21.04,debit,True,CA,MB,WINNIPEG,2022-12-03,17:25:14,ABM,ABM00000000000000224,debit,,,CA,,other,8651,0.0,0.0,2006-05-27,2006-07-07,"Offices of Physicians, General Practice"
